p_id,reviewer,review_head,review_text,star,Positive,Negative,neutral,compound
flipkart0,Abhishek Pattanayak,Nice product,After Using 25 Days My Honest Review i was not fan of Moto now a daysboz lack sw updates but they have promised 3 years of Updates which means it will go to Android 17its my small brother's phone which i used for 7 days continuously back camera - 5front camera - 4.5Design - 5Display - 5battery - 4video - 5 (1080p 60 fps like a King in this Budget )i used both vivo x100 pro and moto edge 50 pro side by side it gave damn challenge to vivo x100 pro which is 90k in price seri...,4,0.107,0.07,0.823,0.5297
flipkart0,Debankur Das,Nice product,"Battery: 4Camera: 4Display:5Design:5Performance:5Why the camera quality is 4 stars.If you click the photo in daylight mode and portrait mode then it's really good.Bit in night mode it's not that good.So I have given 4 starsBattery: Average.For normal users, Battery will stay for one day. For heavy users, SOT- 5-6 hours.",4,0,0,1,0
flipkart0,Abhijeet Kumar,Mind-blowing purchase,Great job by Motorola,5,0.577,0,0.423,0.6249
flipkart0,Md. Shanawaz,Simply awesome,Awesome.!!Bag of features in 28k.,5,0,0,1,0
flipkart0,Sushain  Babu ,Best in the market!,"Motorola edge 50 pro is best phone in range of 30000,Camera parameters are good 13 megapixel camera is good for macro photography. Zoom is 30 x so  best in this tange.Water proof , screen recording and many more .Charging is very fast .",5,0.283,0,0.717,0.9349
flipkart0,Siddhant Rathore,Brilliant,"It is an amazing experience with this phone, feels so awesome, although there are some minor bugs in UI which i hope get resolved.Overall the phone is worth spending 28kBut for 32k i'd say its overpriced.👍",5,0.309,0,0.691,0.9305
flipkart0,rohith kr,Worth every penny,Best in this segment,5,0.583,0,0.417,0.6369
flipkart0,Navneet Kumar,Excellent,1. Supper 🤩 Smooth pOled Display ⭐⭐⭐⭐⭐.2. Best Ai Camera in the Segment Fantastic Portrait Results ⭐⭐⭐⭐⭐.3. Snapdragon 7 Gen 3 ⭐⭐⭐⭐⭐.4. Wonderful sleek Design ⭐⭐⭐⭐⭐.,5,0.365,0,0.635,0.91
flipkart0,AMARJEET SHARMA,Pretty good,"Pros:- Design camera ui speaker display performance and all charging methods Cons:- heating, low battery backup, lagy camera app",4,0,0.104,0.896,-0.2732
flipkart0,SUJIT BARMAN,Super!,MY FRIST REACTION IS WAOOOO,5,0,0,1,0
flipkart0,Vikesh  Verma,Must buy!,Very good purchase in my opinion fair opinion CameraFor photography outstanding device 5/5For videography below average 3/5It drops frame and makes a shaky video Display 5/5Performance 3.5/5Looks 4.5/5Sometimes it lagsDon't upgrade your phone if it is  not required just after watching famous youtuber they create their videos in favour of companies,5,0.24,0.031,0.729,0.9117
flipkart0,Satish Kumar  Nandikolla ,Wonderful,As I expected it was good ...but battery was drained fast ...but charge was amazing..just 30 min to full charge. Flipkart delevery is very slow ..it took 10 days to deliver,4,0.087,0.075,0.838,0.1027
flipkart0,Shubham Singh,Wonderful,"I wanted the Moonlight Pearl version but it was nearly impossible to get it as it went out of stock within seconds in second sale. Anyways the black one and it is absolutely gorgeous. Display is the best, better than many other expensive phones. Camera is colour accurate. It captures stunning pictures, there is a slight processing time after click but that's fine. Battery backup is good as well.. for my light to moderate usage it easily lasts around one and a half days. I'm not a heavy gamer,...",5,0.265,0,0.735,0.9836
flipkart0,Sumeet Parwal,Terrific,"Camera is good, the colour lux lavender is superb the fragrance nice Battery drain fastHeating issueBut overall mobile is so good",5,0.428,0,0.572,0.9136
flipkart0,Flipkart Customer,Wonderful,"Mostly phone is great camera is great and display is also good I am really impressed with charging but there are some cons in software,if they fix it it will become a complete flagship phone",4,0.279,0,0.721,0.8337
flipkart0,Pratik,Good quality product,"I have been using this device for past 20 days and it certainly is worth the money, I can guarantee you that u will not regret after this purchase. But I am facing a major heating issue in this mobile like even if u take this mobile in direct sunlight it will heat so much. Like when there was heat wave in Mumbai and I took the mobile in direct sunlight I was not even able to hold the mobile as it was too hot to hold rest all is perfect. I am still not able to figure out why this mobile is hea...",4,0.172,0,0.828,0.9458
flipkart0,Venus Kothari,Classy product,"Most premium moto phone at this price is really a deal full of worth. In terms of hardware, software, design. Everything is just just perfect. No bloatware. Pure Android experience. The amount of comfort this phone has is just next level. Also the display, you are definitely going to love it. A must must buy if you want a flagship killer phone at such an Amazing price.",5,0.262,0.079,0.659,0.9186
flipkart0,Flipkart Customer,Great product,"Superb design, display and camera is excellent.  Phone getting heat in continuous usage . Also battery drains. Otherwise very superb mobile 4 star /5",5,0.391,0,0.609,0.9216
flipkart0,Sagar  Rout,Good,Heating like sun ☀️,3,0.455,0,0.545,0.3612
flipkart0,Fenil Manjarawala,Does the job,"Device is laggy seeing the price range,Camera shutter is too slow,4k Video has frame drop issues..",3,0,0.123,0.877,-0.2732
flipkart0,Modassir  Islam ,Excellent,Product is Awesome,5,0.672,0,0.328,0.6249
flipkart0,Vishav Saxena,Terrific purchase,Design 5/5Performance 5/5Camera 4/5Battery 5/5Display 5/5Overall experience is very Good. Best in price range.,5,0.39,0,0.61,0.8258
flipkart0,Jatin Vanzara,Just okay,1 star Less due to software and UI/UX glitches. I understand its new phone and bought it on the first sale but I am very optimistic that Motorola will fix them with a Software update. There is already an update for the moto cam app I hope we get a system update which fixes and this minor bugs/glitches. My gesture freezes and feels like the phone is stuck then I lock and unlock the phone to continue use.,4,0.131,0.046,0.824,0.8334
flipkart0,Vipul Kumar,Just okay,camera is based on AI but photos with AI beautification is not as good as expected especially on border line of photos,3,0.143,0.115,0.742,0.1879
flipkart0,Saqib Momin,Must buy!,"It's undoubtedly the top choice in its price range, a true flagship killer. Don't hesitate to buy it. The user interface is incredibly clean, and the phone runs buttery smooth, giving you a premium feel. The camera performs exceptionally well, DSLR like images and the phone's design is truly eye-catching. Opting for the elegant purple color was definitely the right choice. Thank you Motorola, for providing the absolute best in any price range.",5,0.355,0.045,0.6,0.9763
flipkart0,Adnan Khan,Excellent,1) To be honest the best design i have ever seen ! 2)Display is very very good and accurate.3)Camera is ok as per the price.4) No unusual application full of ads.5) 100% battery in 22min using 68W adapter.(Don't go for Vegan leather version instead buy this one),5,0.242,0.04,0.719,0.9055
flipkart0,Kiran,Best in the market!,After month of use I am giving the review I loved the display the phone is also smooth and camera is good,5,0.351,0,0.649,0.8481
flipkart0,Ashish chaurasia,Simply awesome,"I love this phone so much. Amazing Camera, Decent battery, Great performance. This phones has flagship features. Just Wow..✌🏻✌🏻Great come back by Motorola..👌🏻👌🏻",5,0.434,0,0.566,0.9297
flipkart0,Flipkart Customer,Just wow!,"Simply the best phone instead of going for 50-70k mobiles and you can go for it blindly. If you want the best camera and entertainment equal to iPhone or Samsung S series, this is the best with low cost, unless you want a brand value. Heating there while charging but it will slow down after charging, which is manageable.",5,0.213,0.024,0.763,0.8462
flipkart0,NARESH BABU,Brilliant,Motorola edge 50 pro 5G mobile is awesome.camera quality super👍Performance super 👍Display super 👍Turbo charging awesome  👍All are good but AUDIO SYSTEM 👎 IS NOT GOOD MUCH MORE BETTER CAN DO ABOUT AUDIO,5,0.347,0.086,0.568,0.8993
flipkart0,Md parwez Alam,Must buy!,"I purchased it on 1st flash sale on 9th April was excited abt this phone but trust me I will share my honest opinion herePro's:1) Display is awesome2)precise edge cut, the feel in ur hand is awesome3)Dolby Atmos is the best addition4) performance is flawless5)real 120hz,u can feel it6) Back camera awesome but review photo processing 10-15 second Cons:1) rear camera is very good, excellent detail in capturesBut the front cam is worst, believe me it looks like16mp,50mp is ...",5,0.341,0.073,0.587,0.9868
flipkart0,Krishnendu Bhattacharyya,Does the job,"Have had the phone for a few hours only. Wouldn't go for a detailed review at the moment, just wanted to point out that the screen guard (plastic film) does not come pre installed on the display, and it's well nigh impossible to apply, even by a professional. Therefore, early birds will have to risk using the bare screen until proper screen protection is available.",3,0.033,0.033,0.935,0
flipkart0,Jyoti Ranjan Nayak,Highly recommended,"1.Display is really fantastic 2.performance is very well balanced and also no lag issue3.Camera is absolutely brilliant 4.Battery is also very good It is enough for 1 day use5.Design is very unique from other mobile brands6.Little heating issue is thereOverall It is a very brilliant mobile for multitasking In my point of view, I will give it4.8/5 And also It gives a very good experience",5,0.266,0.059,0.676,0.9535
flipkart0,Ganesh Magar,Pretty good,"Overall Good Phone,  But Sometimes the image get glitch effect and the edge detection is ok , light balance is not goodOverall camera is good but,  If you ignore some glitches, it's the best phone under 27,999The camera get better soon in some updates",4,0.312,0.056,0.632,0.9432
flipkart0,Anoop,Classy product,One of the best phones under 30k..I have exchanged my old Samsung S20 fe with this. Camera is just awesome. Even better than my old s20 fe. No heating after day 2. Processor is fast without any lag. Also No unnecessary apps preinstalled. Phone is extra slim. Very easy to hold Pros:1. Slim Design and camera2. Fast charging 3. No lags or heating Cons:1. Battery is just 4500. On heavy usage it wont last a day.,5,0.179,0.099,0.721,0.853
flipkart0,Sahabaj Khan,Perfect product!,Just wow...1.camera is awesome 2.display is unstoppable 3.charging Speed is like rocket..even 68 w.. is also great ..4.no doubt Dolby Atmos sound is great5.software experience is also great 6.in hand feel awesome 7.but sometimes camera is lagging and minor heating issue      Ovarall it's a ALL IS WELL category phone..and I rated 8 out of 10...,5,0.34,0.087,0.573,0.9663
flipkart0,Saurabh  Customer,Terrific,Best mobile 📱,5,0.808,0,0.192,0.6369
flipkart0,Nitesh Kumar,Excellent,Review By:- Nitesh SinghThis product is very good. I am very happy with phone moto edge 50 pro it's camera is awesome. good experience with Dolby Atmos.Design - 5/5Display - 5/5  Battery - 5/5Camera - 5/5,5,0.349,0,0.651,0.938
flipkart0,CHANDRAVEER BHADOURIYA,Good choice,I am using since last month#Display is very good but i would prefer flat display.#Design is very good no doubt about it#camera is good but it takes time for processing which is very irritating#battery back is good but feel heat some time#performance doesn't matter to me Overall nice phone except curved display which i didn't like,4,0.255,0.145,0.6,0.8758
flipkart0,YASIN KHATRI,Value-for-money,"Excellent Display, stereo speakers are great! The camera is good as well. A major issue observed so far is OS Glitch. Also security patch is of March on 3rd June. Need timely software updates else the update promised makes no sense.",4,0.338,0.041,0.62,0.9412
flipkart0,Ajaharuddin Sk,Very Good,Motorola finally works on camera,4,0,0,1,0
flipkart0,Rahul Amin,Delightful,Everything is awesome. I loved it so much. I have one issue they should have fix the screen protector or should have given instruction mark in screen film provided in box.,4,0.229,0,0.771,0.8402
flipkart0,Kanti Nandan,Pretty good,"Battery backup disappointing me should be better in this price,and heating issues. I am using real me 3pro since 4 years and battery backup still good",4,0.193,0.107,0.7,0.3818
flipkart0,Jude Thomas,Value-for-money,Those who are expecting a perfect all-rounder phone can go for this.,4,0.27,0,0.73,0.5719
flipkart0,Arvind  Agrahari ,Perfect product!,This price is very good phone thanks for Motorola this feature and Android 14 thanks for ui,5,0.405,0,0.595,0.8598
flipkart0,Gopabandhu Parida,Just wow!,"Overall Everything is Great 😃👍 but not Everything.Needs Software Optimisation - Notification Sutter is Laggy, A lot of bugs Found during 1-2 months of usage, glitch on massaging app ,app freeze Notification sutter freezing, Flipkart in app scree not working like freeze same time another things working well. Not a single one , i only think its all because UFS 2.2 (Here is the cost cutting) Its premium in looks, display and camera but lag is the issue , we can get more options in this segme...",5,0.086,0.112,0.803,-0.5173
flipkart0,SUFIAN ALI,Best in the market!,"recently purchased the MOTO EDGE 50 PRO and have been thoroughly impressed with its performance and features. The phone has a sleek and modern design, with a large and vibrant display that makes it easy to use. The build quality is solid, with a durable and premium feel to it.,,,CAMERA Is AWESOME,,,YOU WILL LOVE TAKE PHOTOS,,,",5,0.253,0,0.747,0.9453
flipkart0,Amit Prasad Gupta,Super!,The camera profomenc are trefic am very satisfied battery are poor but it's ok fast charging supab...........,5,0.232,0.098,0.67,0.4208
flipkart0,Biton Bhatt,Awesome,"OverAll paisa wasul flagship in budget.Battary backup I wish much more better upgrade but actually not.Camera is mini DSLR with 85mm zooming lence, that's amazing 🔥👽",5,0.33,0,0.67,0.8536
flipkart0,Shashikant Bagaria,Worth every penny,Awesome 😎 love the pearl white colour,5,0.675,0,0.325,0.8519
flipkart0,Rohit Thakor,Terrific,very good smartphonesuperb camera display quality is awesome.,5,0.549,0,0.451,0.807
flipkart0,Sudipto Banerjee,Excellent,Best mobile in this segment,5,0.512,0,0.488,0.6369
flipkart0,Kothamasu murali mukund Anjani kumar,Fabulous!,"I have purchased lux lavender colour Design is very Impressive and good battery life, flagship experience some problem I was fix in next software update.",5,0.273,0.09,0.636,0.6659
flipkart0,PARTHIBAN  R S,Mind-blowing purchase,Phone looks solidStunning designAwesome performanceBetter cameraNot great battery lifeReview after 1 month of usageRecommended for all users,5,0.215,0,0.785,0.6249
flipkart0,Soumik Mukherjee,Perfect product!,I have been using Samsung mid range mobile phone from last 12 years. Last phone was Galaxy A72. Now I am switching Motorola edge 50 pro and feels awesome. Little concern about battery but excellent in other aspects. Feels great in hand. Display and camera is excellent. Performance is also great. In this budget one of the best phone. Very lightweight. This opinion after 4 days of full use.,5,0.366,0,0.634,0.9899
flipkart0,Ranjan Agarwal,Nice,Honest review. All Cons first:-1. Heating issue and Battery drain is huge. You can see the battery percentage go down while every time you use the phone.2. Moto Hello UI is not user friendly and missing many features that are basic in all android mobiles.3. You cannot uninstall the app by long pressing the icon. You have to go to the app info to do so.4. You cannot move multiple apps from one screen to another.5. A simple auto brightness button is missing in the notification draw...,3,0.086,0.074,0.84,0.2896
flipkart0,Nitish Yadav,Just wow!,Superb performance phone,5,0.672,0,0.328,0.6249
flipkart0,Puneet Arora,Expected a better product,The camera was defective in my piece...but Flipkart customer service is horrible to deal with. Very unsatisfactory experience. Performance is ok overall,2,0.08,0.232,0.688,-0.6369
flipkart0,Navnath Deshmukh,Does the job,"1. Superb display2. Crystal clear and loud speakers.3. Camera Quality is great.Cons-1. The camera app lags and even crashes when device gets heated. Sometimes it also doesn't save the captured photo. Although all of this is due to the heating of phone, the camera app needs more optimisation which can be easily fixed through an OTA update (o hope they provide a update soon)2.  Decent Battery. I have to charge my phone only once in a day when I'm using the device moderately but when ...",3,0.111,0.04,0.849,0.6578
flipkart0,Preeti Jain,Fair,"Overall a very good phone. It's been a month now I have been using this phone and noticed the phone gets heated up even if I use it for 10 minutes. When I googled, I checked most of the people using this phone are facing similar issues and all that Motorola has to say is that heating is normal and you can use it in the cooler surroundings. My phone gets really hot even if I use it for 10 mins.. it's difficult to hold the phone while I am browsing.. this can't be normal.. moreover you can't ex...",3,0.034,0.026,0.94,0.1761
flipkart0,Flipkart Customer,Not good,Poor battery backup. Otherwise everything is good,2,0.264,0.282,0.455,-0.0516
flipkart0,sharif sheik,Review after 2 days of usage,"Just got my Motorola Edge 50 Pro from the first flash sale and I've been using it for the past two days. Here's what I found:Pros:1.The phone feels premium and looks great in hand.2.Beautiful Display3.Both the front and rear cameras take excellent photos, especially for the price point.4.Motorola's near-stock Android experience is bloatware-free and easy to use.5. Fast charging Cons:1.The phone can get noticeably hot while charging and during outdoor usage.2.There's a slight dela...",4,0.134,0,0.866,0.8934
flipkart0,Prasad ARN,Super!,"Hi allGot the phone yesterday. I have always tried to use flagship or upper mid tier phones..so Google Nexus 5, Redmi K20 Pro, Samsung 21FE , Realme 11 Pro..etc. This phone is miles above these phones...particularly Samsung 21FE.Although the chipset is half the Antutu score of a flagship...for day to day use...its super quick...Camera is also good..except the already reported stutter or slowness which should go away after an update.Overall...very impressed with the 28K I paid.",5,0.107,0.026,0.867,0.7506
flipkart0,Prince  Bhardwaj ,Terrific purchase,"This phone is an all-rounder with flagship features like 50W wireless charging, IP68 rating, and reverse wireless charging. The device feels snappy, and the new Hello UI is fluid and responsive. Speaking of the display, it accurately reproduces colors; in fact, it matches the color accuracy level of my MacBook display, earning it a 10/10 rating. The camera is really good, producing sharp and detailed photos. However, the camera viewfinder feels laggy when the phone heats up due to the high te...",5,0.111,0,0.889,0.8221
flipkart0,Velavan,Pretty good,"First 1 month mobile so many lag and app crash.after security update problem not coming till now . Camera is superb.Firt time use stock Android, some basic apps need from Google and other brands app(Like ., Galary, File manger) this is slightly some panic for me.",4,0.047,0.165,0.787,-0.7184
flipkart0,prakash santra,Pretty good,Overall nice product but l have been using it for a month but no software update has come till now,4,0.092,0.135,0.773,-0.2263
flipkart0,Shoaib Shaikh,Wonderful,"I have ordered this phone on the first day of the flash sale and from the usage till now, I'm writing the review below.Pro's:1. Display is great 2. Performance is awesome for multitasking.3. Camera is great.4. Hello UI is great as compared to FuntouchOS, ColorOS, MIUI.5. It's truly pantone validated display.Cons:1. Battery heating issue while long time calling, charging and playing games,2. The control centre drawer is automatically pulled down for incoming calls and not able to pi...",4,0.21,0,0.79,0.9578
flipkart0,pushp jain,Very Good,Camera needs to improve. Let me wait for update,4,0.266,0,0.734,0.4404
flipkart0,Chandana Sharmah,Nice product,"I think the overall phone is good ,but there are many bugs , Motorola needs to fix it in the upcoming update ,but I appreciate it that Motorola is purely trying to make good phones. I am happy but I feel better when these bugs are removed and fixed",4,0.319,0,0.681,0.9598
flipkart0,Aman Deep,Worth the money,Best in hand feelAwesome designCamera with ois,4,0.597,0,0.403,0.8126
flipkart0,Vivek,Good choice,"Good phone Little slippery the design,Screen size little big and need good case and screen protector phone is very sensitive.Display Quality is excellent Similar to OLEDSound quality is excellent Dolby Atmos Camera Quality is Good at this price range Design is good Built quality looks Good not sure about gorilla glass version Battery can last upto 1 days for average user.Screen touch at the edge is not responsiveWhen your one finger touches edge screen the main screen not responsi...",4,0.233,0.021,0.746,0.9635
flipkart0,Shreyas Talathi,Nice product,"I bought this phone in the first flash sale. My model is 8/256- blackPros:1. The design looks premium, the whole vegan leather finish looks very premium to hold2. Camera is good, given Moto's history with camera this is a great work done by Motorola.3. Display is great, sound is great. You can use this as an entertainment device without worrying about earphones4. For me setting up from Moto to Moto was very smoothCons:1. Device sometimes heats up, but i guess from my experience with M...",4,0.146,0,0.854,0.8755
flipkart0,Joseph A,Wonderful,It gets a little hot only when taking photos.Otherwise the phone is so good,4,0.238,0,0.762,0.5777
flipkart0,Roja Mamidisetti,Wonderful,"Pros:1. This time motorola really improved the camera performance2. Smooth Ui3. Charging very rapidly4. Stunning displayCons:1. Battery drains quickly due to high resolution, refresh rate and small capacity battery (8hrs screen on time if use in 60hz refresh rate otherwise 5 - 6hrs.2. Heating around the frame.",4,0.127,0,0.873,0.7408
flipkart0,Yousha Ansari,Delightful,Good All rounder Mobile. Not for hard-core gamers.,4,0.293,0,0.707,0.4404
flipkart0,UNNIKRISHNAN NAIR S,Brilliant,"best phone . video quality is very good. battery backup is not up to the mark,comparing with other specifications",5,0.316,0,0.684,0.8122
flipkart0,Akhil SP,Perfect product!,Moto edge 50 pro is really worth the money. Its display and  the aspect ratio is gorgeous. The battery performance is decent. Good processor; No lag in the performance. Camera performance is not the best;but its ok for most of the times. The only thing that i dont like is UFS 2.2. At this price they could have given UFS 3.1. Apart from this i am very much happy with device and i highly recommend this phone.MOTOROLA HAS JUMPED TO NEXT LEVEL IN THE MOBILE PHONE MARKET.,5,0.181,0.067,0.752,0.9073
flipkart0,Dipankar Barman,Great product,A very balanced phone with great camera system.,5,0.406,0,0.594,0.6249
flipkart0,Siva Prakash  k,Terrific,"1st I appreciate the upgrade of moto past 6years iam moto user my past mobiles are having poor camera but this is the best moto mobile ever I used, Camera is really awesome but it's taking time to process moto need to fix the issue otherwise mobile is awesome, before I had so much of confusion for buying this mobile after I bought it iam so much of happy, the battery charging speed is really magical,but heating issue in side metal frame while using 5g downloads,if u think all the features of ...",5,0.227,0.047,0.726,0.9751
flipkart0,Mahesh Nagoura,Great product,All good in phone,5,0.492,0,0.508,0.4404
flipkart0,Kamal Mittal,Must buy!,"Value for money Good looks , quality. Pros -: camera , and charging 68WCons -: sometimes because of curved screen touchh issues",5,0.227,0,0.773,0.6486
flipkart0,Mayank Choudhary,Terrific purchase,Amazing product by Motorola. Must buy. Better than I phone 15. Loved it❤️. Go for it.👍,5,0.469,0,0.531,0.891
flipkart0,vaseem  akram,Terrific,I purchased for my mother to gift. It is an awesome mobile camera at the next level.Thanks,5,0.333,0,0.667,0.7906
flipkart0,Vivek Negi,Simply awesome,best feature rich phone in the segment. Fast charging good battery backup. Best camera phone.,5,0.575,0,0.425,0.9423
flipkart0,SASIKUMAR  RATHINAM ,Just wow!,"Design was cool, Good camara,",5,0.634,0,0.366,0.6369
flipkart0,Amrit Dey,Excellent,Perfect product... And regarding battery depends on how you are using it... The battery optimisation is pretty good. There are minor bugs in UI which can be fixed with a software updates.,5,0.315,0,0.685,0.9081
flipkart0,Rahul Khatri,Worth every penny,"Prons-1.Camera - Best option for photography including specially portrait mode.Portrait mode beat 40k price range easily.2.Inteface- super clean UI ,good in segment.3.display- very sensitive display.4.battery- decent for average user5.performance- best in segment as per price.Cons--1.Camera- at present videography is ok type, videos has less stablize.In 4k stabilization is not working properly.I hope this camera problem will solve in future updates.2.Phone heat during camera use ...",5,0.267,0.062,0.671,0.9501
flipkart0,Naveen Patel,Mind-blowing purchase,It's the best phone u can get at this price range the performance the speed the quality of the camera the screen all are very good the only prob. With the phone is camera is a bit laggy but once the photo is taken it's fabulous If u guys are planning to buy this go for it without thinking twice it can even compete with its higher level phones the charging speed is also good charge it in morning and by the time u do brush nd take bath the phone ll be charged nd ll last up to night with normal...,5,0.125,0.02,0.855,0.9079
flipkart0,Hanumanthu  Chowhan ,Fabulous!,Good phone...best choice for normal use..Still some cons are there-overheating-battery drain-photos are oversaturated....But considering all the specs I am happy with this phone,5,0.248,0,0.752,0.765
flipkart0,Sarita  Agrawal,Terrific purchase,Flagship phone at midrange price and processor with okayish battery. Premium build and feel with top notch display. Battery lasts 7 hrs on avg on medium usage. Cameras are very impressive with true colours. Sleek and handy,5,0.235,0,0.765,0.8341
flipkart0,ms yadav Yadav,Brilliant,Best camera 👍👍👍 thanks Motorola,5,0.703,0,0.297,0.7964
flipkart0,Balu Mukesh,Fabulous!,"The review writing after 2 weeks usage , The design and looks are excellent,light weight simple design and leather finish on backside is so nice. The camera is far better as compared to any of moto phones, but in some situations like night time in front camera the images may have some skin tone problem in the first week , but after an update it solved. But in the case of video recording a frame drop occur when shooting in 4k 30fps , but not in 4k 60fps.The battery is decent for an one day usa...",5,0.1,0.061,0.839,0.4512
flipkart0,Sujoy Biswas,Super!,Awesome Phone,5,0.804,0,0.196,0.6249
flipkart0,Flipkart Customer,Terrific purchase,Good product 😃,5,0.744,0,0.256,0.4404
